target_index,source_binding_target_id,source_side,bound_raw_key,bound_candidate_scoring_id,admission_readiness,admission_status,field_pin_status,source_row_count,scalar_leaf_count,candidate_object_id,provenance_chain_complete,semantics_choice_available
54,231ff27b9d50af2aea405918adbf85d874ae27460820f355f667a3e4599307b2,RAW,6000007::S06::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
55,4cab5a6af575ddc734d7898e63980b83b41d9455bfee29a75ad76c9488f672d1,RAW,6000007::S06::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
56,32dde6688f53d61bfeac4ef110d3e4a15a7cf1a057585ff0670f697dfb8edbed,RAW,6000007::S06::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
57,437991ab767eb3707ba93f6b2be3367d02410bd0ed95331af8f2a57d0b967030,RAW,6000007::S06::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
58,6b2273f14102cbc436ff2650b4b550b006a084f7f2d4fdbdfe8fe970c47af443,RAW,6000007::S07::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
59,42dd7fcd4371096007dfb15b78b6d124260685879406b26a0d5f08f720a78a75,RAW,6000007::S07::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
60,4df5d32eb2ed55e2f4adb33e98a98bbea2ed3fcaa040635986c2c0f32698618e,RAW,6000007::S08::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,44,,NO,NO
61,f3081c555d426b74509eec7778461477fd13e423d681e1c9baf79d655473b8ff,RAW,6000007::S08::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,44,,NO,NO
62,33f5eb995086463dcd57a201859a394815bc24df87924b19f9a6953595effb79,RAW,6000007::S08::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
63,6425b65c543b12b01258193882492ea4e78ee9594677e641f4bf9bf690a94845,RAW,6000007::S08::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
